id;created_by;created_time;modified_by;modified_time;del_flag
1;Rustic Loan;2023-02-08T06:30:09;program visualize;2023-02-07T12:16:06;false
2;Identity;2023-02-07T15:10:22;Shirt Comoros;2023-02-07T09:19:17;true
3;infrastructures Sleek;2023-02-07T18:32:54;Soft up;2023-02-07T14:30:03;false
4;Bacon Clothing;2023-02-08T02:03:06;Nakfa;2023-02-08T00:13:37;false
5;Sharable;2023-02-07T23:00:03;Tennessee synergistic unleash;2023-02-08T06:52:14;true
6;Berkshire;2023-02-08T03:55:19;portals;2023-02-08T01:41:26;true
7;systems monitor Alaska;2023-02-07T17:28:58;Account expedite;2023-02-07T12:29:33;false
8;Computers Borders;2023-02-08T04:15:00;Oregon Internal AGP;2023-02-07T16:35:18;false
9;Delaware Incredible;2023-02-07T07:56:24;Cambridgeshire Soft Belize;2023-02-07T19:10:53;true
10;capacitor;2023-02-07T12:35:48;Representative Caribbean customized;2023-02-07T13:06:43;false
