id;parent_id;code;name;description;path;full_path;enabled;type
1;3475;deposit compress;Implementation Fundamental Versatile;back web;Avon virtual;Incredible Texas;true;39212
2;88032;azure;intranet Missouri indexing;Berkshire card;Handcrafted;Cotton Loan channels;false;6511
3;52637;Avon Extensions;Corners transmitting;National;seize Qatar;Surinam;true;99376
4;68148;Cotton invoice Plastic;exploit;1080p;Berkshire Kansas;Dynamic Keyboard;true;90798
5;56139;homogeneous Dynamic;Practical;virtual Tasty;Bacon;revolutionize Berkshire;true;72666
6;9975;redundant;initiatives International payment;Movies tan Producer;architectures Algeria synergies;Account Checking;false;46435
7;62024;matrix redundant Somoni;radical;invoice firmware Intelligent;Specialist Buckinghamshire help-desk;platforms;true;51966
8;49601;grey index;Books dynamic;Shoes array implement;time-frame invoice;International invoice panel;false;17441
9;87948;Hryvnia;Central payment;Dynamic;Steel Grass-roots Manager;hacking;false;98526
10;24089;Inlet Hat enterprise;Computers Orchestrator;District installation indexing;Factors Wooden Buckinghamshire;override;true;46520
