id;parent_id;code;name;description;type;jhi_order;url;component;perms
1;85306;compressing;Communications capacitor Mobility;Sports Garden;Electronics Generic models;70253;https://joesph.org;Technician extensible impactful;modular
2;12428;driver;Global;Fresh Team-oriented;Investment calculating;10811;http://mina.com;interface withdrawal;Associate Metal
3;39425;Shoes Pike;rich;Chair SCSI deposit;bypass;39777;http://trisha.net;Cambridgeshire efficient Salad;Planner
4;72178;array protocol;Chief Salad;Hat;Bedfordshire Rwanda;78937;https://johnathan.info;Unbranded;capacitor Chips Lebanese
5;91359;synergies Checking;mint Ball;Maine methodologies;leverage Bahraini Soap;42942;https://myrtis.name;Steel;Soft panel
6;9058;Fresh synthesize Bike;withdrawal;Product withdrawal Checking;Shoes silver RAM;96971;http://chaya.info;Maine bluetooth Alabama;Dollar Plains Practical
7;62710;magnetic;enable Bulgaria;superstructure;programming Profit-focused;83152;http://blanche.name;interface Baby Square;matrix Rupiah
8;34440;Handmade monitor optical;fuchsia neural-net integrate;24/7 frictionless;Investor Fish orange;4606;https://delmer.info;virtual Tugrik;Fantastic Quality
9;10503;Refined Account panel;Coordinator Cheese;Chair;Gorgeous;73626;https://imelda.org;integrate moderator strategize;Accountability transmitting
10;70643;withdrawal drive Texas;payment Place;asynchronous Borders;Chief maroon;23914;https://lourdes.net;actuating Directives COM;seize Metal
