id;code;name;description;application_id
1;calculate upward-trending;Security payment;Tools;88932
2;capability Grocery;Awesome Tuna;Pine;20372
3;Kentucky Shoals;bifurcated deliverables leading-edge;Soft and;57993
4;Concrete;synthesize Greece Customer;Coordinator 1080p;95828
5;Springs Shoes;hacking customized;Developer synthesizing invoice;7856
6;Implementation bricks-and-clicks;Managed online;calculating;48643
7;Wisconsin bus Poland;Guernsey Sol Idaho;index granular;71530
8;reboot integrated;e-enable Tasty;USB incentivize;55886
9;generating;application;Customizable challenge;14745
10;models frictionless yellow;circuit;morph;58359
