id;code;name;description;status
1;capacitor compelling;Berkshire;Minnesota Specialist;false
2;Chief Gorgeous Jamaica;Grenada;synergies Savings Chad;true
3;SDD SCSI;Awesome Avon connecting;payment;false
4;payment;Rustic transition;Chicken seize digital;false
5;International;multi-byte value-added;Kids Virginia;true
6;hour;orchid product;e-business Clothing;true
7;Fantastic Mouse robust;Ireland auxiliary;Pants;true
8;deposit Crossroad Planner;Bedfordshire e-markets feed;wireless Orchestrator;true
9;Saint invoice;connect framework;purposes e-business;false
10;data-warehouse responsive Wooden;Senior Awesome;Estate seamless Yemen;false
